"","spectrum_number","nominal_mz","subnominal_mz","intensity","filter_1"
"3594",11,101,101.02082,0.26,FALSE
"3595",11,102,102.01046,0.16,FALSE
"3596",11,103,103.00401,1.51,FALSE
"3597",11,104,103.99112,0.36,FALSE
"3598",11,105,105.02059,0.85,FALSE
"3599",11,106,106.03089,0.12,FALSE
"3600",11,107,107.00615,0.09,FALSE
"3601",11,108,108.33762,0.06,FALSE
"3602",11,109,108.66877,0.05,FALSE
"3603",11,110,110.47394,0.06,FALSE
"3604",11,111,110.9794,0.21,FALSE
"3605",11,112,111.98447,0.09,FALSE
"3606",11,113,113.02786,0.84,FALSE
"3607",11,114,114.03498,0.06,FALSE
"3608",11,115,115.01287,1.1,FALSE
"3609",11,116,116.015,0.15,FALSE
"3610",11,117,117.02157,12.9,FALSE
"3611",11,118,118.01647,2.42,FALSE
"3612",11,119,119.01818,3.89,FALSE
"3613",11,120,120.01592,0.38,FALSE
"3614",11,121,121.01359,0.25,FALSE
"3615",11,122,122.32223,0.12,FALSE
"3616",11,123,122.98896,0.25,FALSE
"3617",11,124,124.0221,0.08,FALSE
"3618",11,125,124.99803,1.29,FALSE
"3619",11,126,125.9887,1.16,FALSE
"3620",11,127,126.99108,0.19,FALSE
"3621",11,128,127.66342,0.9,FALSE
"3622",11,129,129.04309,0.56,FALSE
"3623",11,130,130.05872,0.06,FALSE
"3624",11,131,131.04138,6.92,FALSE
"3625",11,132,132.04102,1.21,FALSE
"3626",11,133,133.03859,19.26,FALSE
"3627",11,134,134.03965,3.01,FALSE
"3628",11,135,135.03521,1.48,FALSE
"3629",11,136,NA,0,FALSE
"3630",11,137,NA,0,FALSE
"3631",11,138,NA,0,FALSE
"3632",11,139,138.96424,0.16,FALSE
"3633",11,140,139.96765,0.36,FALSE
"3634",11,141,140.97525,0.57,FALSE
"3635",11,142,141.97238,0.17,FALSE
"3636",11,143,143.03495,0.26,FALSE
"3637",11,144,NA,0,FALSE
"3638",11,145,145.05969,0.85,FALSE
"3639",11,146,146.01945,0.21,FALSE
"3640",11,147,147.0641,159.03,FALSE
"3641",11,148,148.06563,25.66,FALSE
"3642",11,149,149.06057,13.15,FALSE
"3643",11,150,150.06176,1.29,FALSE
"3644",11,151,151.05656,0.26,FALSE
"3645",11,152,NA,0,FALSE
"3646",11,153,153.00149,0.09,FALSE
"3647",11,154,153.98872,3.53,FALSE
"3648",11,155,154.9843,3.47,FALSE
"3649",11,156,155.97355,1.38,FALSE
"3650",11,157,157.00731,0.19,FALSE
"3651",11,158,NA,0,FALSE
"3652",11,159,159.46227,0.54,FALSE
"3653",11,160,NA,0,FALSE
"3654",11,161,161.04163,0.7,FALSE
"3655",11,162,161.99738,0.53,FALSE
"3656",11,163,162.99193,5.32,FALSE
"3657",11,164,163.99042,1.05,FALSE
"3658",11,165,164.98194,1.19,FALSE
"3659",11,166,165.98068,0.14,FALSE
"3660",11,167,166.97475,0.12,FALSE
"3661",11,168,NA,0,FALSE
"3662",11,169,168.97514,0.16,FALSE
"3663",11,170,169.98146,0.1,FALSE
"3664",11,171,NA,0,FALSE
"3665",11,172,NA,0,FALSE
"3666",11,173,NA,0,FALSE
"3667",11,174,NA,0,FALSE
"3668",11,175,174.99983,0.25,FALSE
"3669",11,176,175.98099,1.04,FALSE
"3670",11,177,176.99006,4.59,FALSE
"3671",11,178,177.98538,0.98,FALSE
"3672",11,179,178.99113,4.99,FALSE
"3673",11,180,179.99158,0.98,FALSE
"3674",11,181,180.98762,0.74,FALSE
"3675",11,182,181.98339,0.34,FALSE
"3676",11,183,182.98262,2.3,FALSE
"3677",11,184,183.97292,1.53,FALSE
"3678",11,185,184.96274,0.22,FALSE
"3679",11,186,NA,0,FALSE
"3680",11,187,NA,0,FALSE
"3681",11,188,NA,0,FALSE
"3682",11,189,189.02014,1.81,FALSE
"3683",11,190,190.01805,0.42,FALSE
"3684",11,191,191.00405,20.54,FALSE
"3685",11,192,192.00291,4.31,FALSE
"3686",11,193,193.0042,13.14,FALSE
"3687",11,194,194.00477,2.75,FALSE
"3688",11,195,194.99844,1.95,FALSE
"3689",11,196,196.00368,0.57,FALSE
"3690",11,197,NA,0,FALSE
"3691",11,198,NA,0,FALSE
"3692",11,199,NA,0,FALSE
"3693",11,200,NA,0,FALSE
"3694",11,201,NA,0,FALSE
"3695",11,202,NA,0,FALSE
"3696",11,203,203.01232,1.72,FALSE
"3697",11,204,204.01551,0.41,FALSE
"3698",11,205,205.02229,4.57,FALSE
"3699",11,206,206.01801,1.12,FALSE
"3700",11,207,207.03039,42.82,FALSE
"3701",11,208,208.0308,9.28,FALSE
"3702",11,209,209.02729,5.52,FALSE
"3703",11,210,210.02556,0.96,FALSE
"3704",11,211,211.01846,0.29,FALSE
"3705",11,212,NA,0,FALSE
"3706",11,213,NA,0,FALSE
"3707",11,214,NA,0,FALSE
"3708",11,215,NA,0,FALSE
"3709",11,216,NA,0,FALSE
"3710",11,217,217.02038,0.16,FALSE
"3711",11,218,NA,0,FALSE
"3712",11,219,219.02743,0.76,FALSE
"3713",11,220,220.03244,0.19,FALSE
"3714",11,221,220.99244,1.08,FALSE
"3715",11,222,221.98944,0.3,FALSE
"3716",11,223,222.94682,4.74,FALSE
"3717",11,224,223.94766,1.27,FALSE
"3718",11,225,224.94472,1.51,FALSE
"3719",11,226,225.93776,1.94,FALSE
"3720",11,227,NA,0,FALSE
"3721",11,228,NA,0,FALSE
"3722",11,229,NA,0,FALSE
"3723",11,230,NA,0,FALSE
"3724",11,231,NA,0,FALSE
"3725",11,232,NA,0,FALSE
"3726",11,233,232.9898,0.32,FALSE
"3727",11,234,233.97321,0.3,FALSE
"3728",11,235,234.97789,2.34,FALSE
"3729",11,236,235.97283,1.14,FALSE
"3730",11,237,236.96751,5.75,FALSE
"3731",11,238,237.96096,2.1,FALSE
"3732",11,239,238.96847,3.04,FALSE
"3733",11,240,239.95909,1.6,FALSE
"3734",11,241,NA,0,FALSE
"3735",11,242,NA,0,FALSE
"3736",11,243,NA,0,FALSE
"3737",11,244,NA,0,FALSE
"3738",11,245,NA,0,FALSE
"3739",11,246,NA,0,FALSE
"3740",11,247,247.0055,0.87,FALSE
"3741",11,248,NA,0,FALSE
"3742",11,249,248.99328,11.11,FALSE
"3743",11,250,249.99208,3.44,FALSE
"3744",11,251,250.97999,16.64,FALSE
"3745",11,252,251.97404,5.47,FALSE
"3746",11,253,252.97708,8.19,FALSE
"3747",11,254,253.96823,4.43,FALSE
"3748",11,255,254.97391,2.92,FALSE
"3749",11,256,NA,0,FALSE
"3750",11,257,NA,0,FALSE
"3751",11,258,NA,0,FALSE
"3752",11,259,NA,0,FALSE
"3753",11,260,NA,0,FALSE
"3754",11,261,261.01503,0.36,FALSE
"3755",11,262,NA,0,FALSE
"3756",11,263,263.00882,3.07,FALSE
"3757",11,264,263.99951,0.9,FALSE
"3758",11,265,265.01161,6.11,FALSE
"3759",11,266,266.00617,2.1,FALSE
"3760",11,267,267.00231,13.33,FALSE
"3761",11,268,267.995,4.34,FALSE
"3762",11,269,268.99557,3.01,FALSE
"3763",11,270,269.99586,1.15,FALSE
"3764",11,271,NA,0,FALSE
"3765",11,272,NA,0,FALSE
"3766",11,273,NA,0,FALSE
"3767",11,274,NA,0,FALSE
"3768",11,275,NA,0,FALSE
"3769",11,276,NA,0,FALSE
"3770",11,277,277.01056,0.27,FALSE
"3771",11,278,278.02683,0.08,FALSE
"3772",11,279,278.9841,0.43,FALSE
"3773",11,280,279.97388,0.12,FALSE
"3774",11,281,281.03419,4.48,FALSE
"3775",11,282,282.03218,1.46,FALSE
"3776",11,283,283.00471,1.44,FALSE
"3777",11,284,283.98545,0.61,FALSE
"3778",11,285,NA,0,FALSE
"3779",11,286,NA,0,FALSE
"3780",11,287,NA,0,FALSE
"3781",11,288,NA,0,FALSE
"3782",11,289,NA,0,FALSE
"3783",11,290,NA,0,FALSE
"3784",11,291,NA,0,FALSE
"3785",11,292,NA,0,FALSE
"3786",11,293,292.96403,1.62,FALSE
"3787",11,294,293.9555,0.48,FALSE
"3788",11,295,294.95169,8.38,FALSE
"3789",11,296,295.94791,3.26,FALSE
"3790",11,297,296.94778,3.06,FALSE
"3791",11,298,297.98003,7.94,FALSE
"3792",11,299,NA,0,FALSE
"3793",11,300,299.94309,2.44,FALSE
"3794",11,301,300.90815,0.63,FALSE
"3795",11,302,NA,0,FALSE
"3796",11,303,NA,0,FALSE
"3797",11,304,NA,0,FALSE
"3798",11,305,305.00686,0.09,FALSE
"3799",11,306,NA,0,FALSE
"3800",11,307,306.97714,1.05,FALSE
"3801",11,308,307.97487,0.33,FALSE
"3802",11,309,308.97672,2.93,FALSE
"3803",11,310,309.97476,1.1,FALSE
"3804",11,311,310.97167,14.39,FALSE
"3805",11,312,311.96935,5.59,FALSE
"3806",11,313,312.96923,4.33,FALSE
"3807",11,314,313.98046,13.12,FALSE
"3808",11,315,NA,0,FALSE
"3809",11,316,NA,0,FALSE
"3810",11,317,NA,0,FALSE
"3811",11,318,NA,0,FALSE
"3812",11,319,NA,0,FALSE
"3813",11,320,NA,0,FALSE
"3814",11,321,320.9874,1,FALSE
"3815",11,322,NA,0,FALSE
"3816",11,323,323.01238,5.8,FALSE
"3817",11,324,324.01391,2.7,FALSE
"3818",11,325,324.9944,101.98,TRUE
"3819",11,326,325.99248,39.99,FALSE
"3820",11,327,326.97437,50.18,FALSE
"3821",11,328,327.96313,25.82,FALSE
"3822",11,329,328.94714,15.34,FALSE
"3823",11,330,329.91905,4.66,FALSE
"3824",11,331,NA,0,FALSE
"3825",11,332,NA,0,FALSE
"3826",11,333,NA,0,FALSE
"3827",11,334,NA,0,FALSE
"3828",11,335,NA,0,FALSE
"3829",11,336,NA,0,FALSE
"3830",11,337,337.02728,3.39,FALSE
"3831",11,338,NA,0,FALSE
"3832",11,339,339.03806,6.09,FALSE
"3833",11,340,NA,0,FALSE
"3834",11,341,341.02195,443.6,FALSE
"3835",11,342,342.01438,169.46,FALSE
"3836",11,343,343.00453,112.49,FALSE
"3837",11,344,343.99503,36.25,FALSE
"3838",11,345,344.98942,17.72,FALSE
"3839",11,346,NA,0,FALSE
"3840",11,347,346.91867,26.95,FALSE
"3841",11,348,NA,0,FALSE
"3842",11,349,NA,0,FALSE
"3843",11,350,NA,0,FALSE
"3844",11,351,350.91664,1.17,FALSE
"3845",11,352,351.84934,0.29,FALSE
"3846",11,353,352.94234,0.12,FALSE
"3847",11,354,NA,0,FALSE
"3848",11,355,355.03655,1.48,FALSE
"3849",11,356,356.03459,0.35,FALSE
"3850",11,357,357.03797,0.15,FALSE
"3851",11,358,NA,0,FALSE
"3852",11,359,NA,0,FALSE
"3853",11,360,NA,0,FALSE
"3854",11,361,NA,0,FALSE
"3855",11,362,NA,0,FALSE
"3856",11,363,NA,0,FALSE
"3857",11,364,NA,0,FALSE
"3858",11,365,NA,0,FALSE
"3859",11,366,NA,0,FALSE
"3860",11,367,366.98376,0.19,FALSE
"3861",11,368,367.97935,0.06,FALSE
"3862",11,369,369.00208,0.09,FALSE
"3863",11,370,NA,0,FALSE
"3864",11,371,NA,0,FALSE
"3865",11,372,NA,0,FALSE
"3866",11,373,NA,0,FALSE
"3867",11,374,NA,0,FALSE
"3868",11,375,NA,0,FALSE
"3869",11,376,NA,0,FALSE
"3870",11,377,NA,0,FALSE
"3871",11,378,NA,0,FALSE
"3872",11,379,NA,0,FALSE
"3873",11,380,NA,0,FALSE
"3874",11,381,381.00518,2,FALSE
"3875",11,382,382.00676,0.85,FALSE
"3876",11,383,383.01142,1.81,FALSE
"3877",11,384,384.00121,0.65,FALSE
"3878",11,385,384.9902,0.5,FALSE
"3879",11,386,NA,0,FALSE
"3880",11,387,NA,0,FALSE
"3881",11,388,NA,0,FALSE
"3882",11,389,NA,0,FALSE
"3883",11,390,NA,0,FALSE
"3884",11,391,NA,0,FALSE
"3885",11,392,NA,0,FALSE
"3886",11,393,NA,0,FALSE
"3887",11,394,NA,0,FALSE
"3888",11,395,NA,0,FALSE
"3889",11,396,NA,0,FALSE
"3890",11,397,397.03237,4.07,FALSE
"3891",11,398,398.03574,1.78,FALSE
"3892",11,399,399.04164,3.41,FALSE
"3893",11,400,400.04559,1.46,FALSE
"3894",11,401,401.03884,0.87,FALSE
"3895",11,402,402.13163,2.09,FALSE
"3896",11,403,NA,0,FALSE
"3897",11,404,NA,0,FALSE
"3898",11,405,NA,0,FALSE
"3899",11,406,NA,0,FALSE
"3900",11,407,NA,0,FALSE
"3901",11,408,NA,0,FALSE
"3902",11,409,NA,0,FALSE
"3903",11,410,NA,0,FALSE
"3904",11,411,NA,0,FALSE
"3905",11,412,NA,0,FALSE
"3906",11,413,413.0685,8.16,FALSE
"3907",11,414,414.07227,3.59,FALSE
"3908",11,415,415.06264,3.22,FALSE
"3909",11,416,416.05607,0.98,FALSE
"3910",11,417,417.04598,0.25,FALSE
"3911",11,418,NA,0,FALSE
"3912",11,419,NA,0,FALSE
"3913",11,420,NA,0,FALSE
"3914",11,421,NA,0,FALSE
"3915",11,422,NA,0,FALSE
"3916",11,423,NA,0,FALSE
"3917",11,424,NA,0,FALSE
"3918",11,425,NA,0,FALSE
"3919",11,426,NA,0,FALSE
"3920",11,427,NA,0,FALSE
"3921",11,428,NA,0,FALSE
"3922",11,429,429.10244,219.2,FALSE
"3923",11,430,430.09515,102.05,FALSE
"3924",11,431,431.08514,68.65,FALSE
"3925",11,432,432.0744,22.59,FALSE
"3926",11,433,433.06852,8.19,FALSE
"3927",11,434,434.06308,1.62,FALSE
"3928",11,435,435.05714,0.14,FALSE
