mz,intensity,percent,DistributionLabel
234,4480,100,Br1
235.01,599,13.37,Br1
236,4342,96.92,Br1
237.01,553,12.34,Br1
238.01,26,0.58,Br1
311.91,2203,49.95,Br2
312.92,319,7.23,Br2
313.91,4410,100,Br2
314.92,584,13.24,Br2
315.91,2196,49.8,Br2
316.91,270,6.12,Br2
317.92,18,0.41,Br2
389.83,1155,34.68,Br3
390.83,164,4.92,Br3
391.82,3330,100,Br3
392.83,425,12.76,Br3
393.82,3291,98.83,Br3
394.82,425,12.76,Br3
395.82,1067,32.04,Br3
396.82,133,3.99,Br3
397.83,9,0.27,Br3
398.83,1,0.03,Br3
467.74,615,18.59,Br4
468.74,76,2.3,Br4
469.73,2221,67.12,Br4
470.74,292,8.82,Br4
471.73,3309,100,Br4
472.74,432,13.06,Br4
473.73,2219,67.06,Br4
474.73,306,9.25,Br4
475.73,465,14.05,Br4
476.73,62,1.87,Br4
477.73,3,0.09,Br4
545.65,288,10.24,Br5
546.65,32,1.14,Br5
547.64,1422,50.55,Br5
548.65,167,5.94,Br5
549.64,2813,100,Br5
550.65,357,12.69,Br5
551.64,2756,97.97,Br5
552.64,327,11.62,Br5
553.64,1353,48.1,Br5
554.64,187,6.65,Br5
555.64,260,9.24,Br5
556.64,34,1.21,Br5
557.64,4,0.14,Br5
623.56,124,4.46,Br6
624.56,23,0.83,Br6
625.55,879,31.58,Br6
626.56,122,4.38,Br6
627.55,2150,77.25,Br6
628.56,267,9.59,Br6
629.55,2783,100,Br6
630.55,359,12.9,Br6
631.55,1990,71.51,Br6
632.55,267,9.59,Br6
633.55,774,27.81,Br6
634.55,109,3.92,Br6
635.55,139,4.99,Br6
636.55,13,0.47,Br6
637.55,1,0.04,Br6
701.47,66,2.68,Br7
702.47,7,0.28,Br7
703.47,491,19.92,Br7
704.47,67,2.72,Br7
705.46,1542,62.56,Br7
706.47,171,6.94,Br7
707.46,2421,98.22,Br7
708.46,285,11.56,Br7
709.46,2465,100,Br7
710.46,261,10.59,Br7
711.46,1437,58.3,Br7
712.46,207,8.4,Br7
713.46,453,18.38,Br7
714.46,44,1.78,Br7
715.45,73,2.96,Br7
716.46,10,0.41,Br7
779.38,34,1.42,Br8
780.38,4,0.17,Br8
781.38,308,12.91,Br8
782.38,29,1.22,Br8
783.37,1023,42.88,Br8
784.38,136,5.7,Br8
785.37,2001,83.86,Br8
786.38,233,9.77,Br8
787.37,2386,100,Br8
788.37,299,12.53,Br8
789.37,1859,77.91,Br8
790.37,254,10.65,Br8
791.37,958,40.15,Br8
792.37,145,6.08,Br8
793.36,255,10.69,Br8
794.37,37,1.55,Br8
795.36,35,1.47,Br8
796.36,4,0.17,Br8
857.29,18,0.82,Br9
858.29,2,0.09,Br9
859.29,190,8.66,Br9
860.29,20,0.91,Br9
861.28,648,29.55,Br9
862.29,81,3.69,Br9
863.28,1524,69.49,Br9
864.29,197,8.98,Br9
865.28,2193,100,Br9
866.28,267,12.18,Br9
867.28,2152,98.13,Br9
868.28,264,12.04,Br9
869.28,1450,66.12,Br9
870.28,164,7.48,Br9
871.27,588,26.81,Br9
872.28,84,3.83,Br9
873.27,120,5.47,Br9
874.28,14,0.64,Br9
875.27,23,1.05,Br9
877.28,1,0.05,Br9
935.2,10,0.46,Br10
936.2,2,0.09,Br10
937.2,89,4.13,Br10
938.2,15,0.7,Br10
939.19,436,20.23,Br10
940.2,57,2.65,Br10
941.19,1115,51.74,Br10
942.2,129,5.99,Br10
943.19,1893,87.84,Br10
944.19,234,10.86,Br10
945.19,2155,100,Br10
946.19,288,13.36,Br10
947.19,1725,80.05,Br10
948.19,233,10.81,Br10
949.18,961,44.59,Br10
950.19,138,6.4,Br10
951.18,373,17.31,Br10
952.19,40,1.86,Br10
953.18,87,4.04,Br10
954.18,13,0.6,Br10
955.18,6,0.28,Br10
956.18,1,0.05,Br10
190.05,6588,100,Cl1
191.06,867,13.16,Cl1
192.05,2276,34.55,Cl1
193.06,258,3.92,Cl1
194.06,11,0.17,Cl1
224.02,5106,100,Cl2
225.02,637,12.48,Cl2
226.01,3249,63.63,Cl2
227.02,437,8.56,Cl2
228.01,489,9.58,Cl2
229.01,75,1.47,Cl2
230.02,6,0.12,Cl2
231.02,1,0.02,Cl2
257.98,3791,100,Cl3
258.98,535,14.11,Cl3
259.97,3738,98.6,Cl3
260.98,460,12.13,Cl3
261.97,1177,31.05,Cl3
262.97,177,4.67,Cl3
263.97,111,2.93,Cl3
264.97,8,0.21,Cl3
265.97,3,0.08,Cl3
291.94,2895,79.84,Cl4
292.94,407,11.22,Cl4
293.94,3626,100,Cl4
294.94,457,12.6,Cl4
295.93,1867,51.49,Cl4
296.94,242,6.67,Cl4
297.93,424,11.69,Cl4
298.93,48,1.32,Cl4
299.93,31,0.85,Cl4
300.93,2,0.06,Cl4
301.93,1,0.03,Cl4
325.9,2113,59.76,Cl5
326.9,304,8.6,Cl5
327.9,3536,100,Cl5
328.9,485,13.72,Cl5
329.89,2323,65.7,Cl5
330.9,298,8.43,Cl5
331.89,701,19.82,Cl5
332.89,108,3.05,Cl5
333.89,101,2.86,Cl5
334.89,20,0.57,Cl5
335.88,11,0.31,Cl5
359.86,1678,52.77,Cl6
360.86,224,7.04,Cl6
361.86,3180,100,Cl6
362.86,405,12.74,Cl6
363.85,2612,82.14,Cl6
364.86,320,10.06,Cl6
365.85,1099,34.56,Cl6
366.85,138,4.34,Cl6
367.85,261,8.21,Cl6
368.85,31,0.97,Cl6
369.85,45,1.42,Cl6
370.85,5,0.16,Cl6
371.84,2,0.06,Cl6
393.82,1236,44.13,Cl7
394.82,183,6.53,Cl7
395.82,2801,100,Cl7
396.82,373,13.32,Cl7
397.82,2755,98.36,Cl7
398.82,333,11.89,Cl7
399.81,1492,53.27,Cl7
400.82,172,6.14,Cl7
401.81,479,17.1,Cl7
402.81,70,2.5,Cl7
403.81,86,3.07,Cl7
404.81,8,0.29,Cl7
405.8,11,0.39,Cl7
406.82,1,0.04,Cl7
427.78,915,33.36,Cl8
428.79,130,4.74,Cl8
429.78,2494,90.92,Cl8
430.78,324,11.81,Cl8
431.78,2743,100,Cl8
432.78,361,13.16,Cl8
433.77,1781,64.93,Cl8
434.78,240,8.75,Cl8
435.77,707,25.77,Cl8
436.77,92,3.35,Cl8
437.77,164,5.98,Cl8
438.77,21,0.77,Cl8
439.77,23,0.84,Cl8
440.77,4,0.15,Cl8
441.76,1,0.04,Cl8
461.74,702,26.85,Cl9
462.75,98,3.75,Cl9
463.74,2068,79.08,Cl9
464.74,280,10.71,Cl9
465.74,2615,100,Cl9
466.74,323,12.35,Cl9
467.73,2114,80.84,Cl9
468.74,267,10.21,Cl9
469.73,962,36.79,Cl9
470.73,147,5.62,Cl9
471.73,286,10.94,Cl9
472.73,57,2.18,Cl9
473.73,66,2.52,Cl9
474.73,3,0.11,Cl9
475.72,12,0.46,Cl9
495.7,496,19.82,Cl10
496.71,72,2.88,Cl10
497.7,1772,70.8,Cl10
498.7,231,9.23,Cl10
499.7,2503,100,Cl10
500.7,353,14.1,Cl10
501.7,2208,88.21,Cl10
502.7,288,11.51,Cl10
503.69,1207,48.22,Cl10
504.7,165,6.59,Cl10
505.69,492,19.66,Cl10
506.69,63,2.52,Cl10
507.69,100,4,Cl10
508.69,18,0.72,Cl10
509.68,24,0.96,Cl10
510.69,4,0.16,Cl10
511.68,3,0.12,Cl10
513.68,1,0.04,Cl10
267.97,3351,76.28,Br1Cl1
268.97,441,10.04,Br1Cl1
269.96,4393,100,Br1Cl1
270.97,571,13,Br1Cl1
271.96,1103,25.11,Br1Cl1
272.96,131,2.98,Br1Cl1
273.97,9,0.2,Br1Cl1
274.97,1,0.02,Br1Cl1
301.93,2579,62.46,Br1Cl2
302.93,342,8.28,Br1Cl2
303.92,4129,100,Br1Cl2
304.93,533,12.91,Br1Cl2
305.92,1872,45.34,Br1Cl2
306.92,245,5.93,Br1Cl2
307.92,265,6.42,Br1Cl2
308.92,31,0.75,Br1Cl2
309.93,4,0.1,Br1Cl2
335.89,1888,49.91,Br1Cl3
336.89,251,6.63,Br1Cl3
337.89,3783,100,Br1Cl3
338.89,506,13.38,Br1Cl3
339.88,2481,65.58,Br1Cl3
340.89,303,8.01,Br1Cl3
341.88,652,17.23,Br1Cl3
342.88,83,2.19,Br1Cl3
343.88,44,1.16,Br1Cl3
344.88,9,0.24,Br1Cl3
369.85,1512,45.71,Br1Cl4
370.85,211,6.38,Br1Cl4
371.85,3308,100,Br1Cl4
372.85,468,14.15,Br1Cl4
373.84,2737,82.74,Br1Cl4
374.85,308,9.31,Br1Cl4
375.84,1064,32.16,Br1Cl4
376.84,140,4.23,Br1Cl4
377.84,197,5.96,Br1Cl4
378.84,33,1,Br1Cl4
379.84,17,0.51,Br1Cl4
380.84,5,0.15,Br1Cl4
403.81,1117,37.86,Br1Cl5
404.81,143,4.85,Br1Cl5
405.81,2894,98.1,Br1Cl5
406.81,368,12.47,Br1Cl5
407.8,2950,100,Br1Cl5
408.81,363,12.31,Br1Cl5
409.8,1448,49.08,Br1Cl5
410.8,171,5.8,Br1Cl5
411.8,400,13.56,Br1Cl5
412.8,52,1.76,Br1Cl5
413.8,80,2.71,Br1Cl5
414.8,9,0.31,Br1Cl5
415.79,4,0.14,Br1Cl5
416.8,1,0.03,Br1Cl5
345.88,1692,43.98,Br2Cl1
346.88,234,6.08,Br2Cl1
347.87,3847,100,Br2Cl1
348.88,494,12.84,Br2Cl1
349.87,2779,72.24,Br2Cl1
350.87,349,9.07,Br2Cl1
351.87,531,13.8,Br2Cl1
352.87,70,1.82,Br2Cl1
353.88,4,0.1,Br2Cl1
379.84,1301,38.4,Br2Cl2
380.84,193,5.7,Br2Cl2
381.83,3388,100,Br2Cl2
382.84,443,13.08,Br2Cl2
383.83,2903,85.68,Br2Cl2
384.84,391,11.54,Br2Cl2
385.83,1084,32,Br2Cl2
386.83,144,4.25,Br2Cl2
387.83,132,3.9,Br2Cl2
388.83,20,0.59,Br2Cl2
389.83,1,0.03,Br2Cl2
413.8,988,32.33,Br2Cl3
414.8,127,4.16,Br2Cl3
415.8,2837,92.83,Br2Cl3
416.8,359,11.75,Br2Cl3
417.79,3056,100,Br2Cl3
418.8,423,13.84,Br2Cl3
419.79,1522,49.8,Br2Cl3
420.79,216,7.07,Br2Cl3
421.79,399,13.06,Br2Cl3
422.79,46,1.51,Br2Cl3
423.79,23,0.75,Br2Cl3
424.79,3,0.1,Br2Cl3
425.79,1,0.03,Br2Cl3
447.76,748,25.09,Br2Cl4
448.76,105,3.52,Br2Cl4
449.76,2416,81.05,Br2Cl4
450.76,318,10.67,Br2Cl4
451.75,2981,100,Br2Cl4
452.76,386,12.95,Br2Cl4
453.75,1915,64.24,Br2Cl4
454.75,248,8.32,Br2Cl4
455.75,680,22.81,Br2Cl4
456.75,75,2.52,Br2Cl4
457.75,108,3.62,Br2Cl4
458.75,12,0.4,Br2Cl4
459.74,7,0.23,Br2Cl4
461.75,1,0.03,Br2Cl4
481.72,574,19.96,Br2Cl5
482.72,71,2.47,Br2Cl5
483.72,1957,68.05,Br2Cl5
484.72,267,9.28,Br2Cl5
485.72,2876,100,Br2Cl5
486.72,365,12.69,Br2Cl5
487.71,2159,75.07,Br2Cl5
488.72,313,10.88,Br2Cl5
489.71,965,33.55,Br2Cl5
490.71,131,4.55,Br2Cl5
491.71,248,8.62,Br2Cl5
492.71,26,0.9,Br2Cl5
493.7,41,1.43,Br2Cl5
494.71,3,0.1,Br2Cl5
495.7,4,0.14,Br2Cl5
423.79,854,25.5,Br3Cl1
424.79,108,3.22,Br3Cl1
425.78,2838,84.74,Br3Cl1
426.79,374,11.17,Br3Cl1
427.78,3349,100,Br3Cl1
428.79,427,12.75,Br3Cl1
429.78,1561,46.61,Br3Cl1
430.78,210,6.27,Br3Cl1
431.78,254,7.58,Br3Cl1
432.78,24,0.72,Br3Cl1
433.78,1,0.03,Br3Cl1
457.75,657,20.61,Br3Cl2
458.75,93,2.92,Br3Cl2
459.75,2376,74.55,Br3Cl2
460.75,282,8.85,Br3Cl2
461.74,3187,100,Br3Cl2
462.75,426,13.37,Br3Cl2
463.74,1976,62,Br3Cl2
464.74,262,8.22,Br3Cl2
465.74,603,18.92,Br3Cl2
466.74,75,2.35,Br3Cl2
467.74,56,1.76,Br3Cl2
468.74,6,0.19,Br3Cl2
469.74,1,0.03,Br3Cl2
491.71,517,17.07,Br3Cl3
492.71,72,2.38,Br3Cl3
493.71,1898,62.66,Br3Cl3
494.71,213,7.03,Br3Cl3
495.7,3029,100,Br3Cl3
496.71,396,13.07,Br3Cl3
497.7,2345,77.42,Br3Cl3
498.7,277,9.14,Br3Cl3
499.7,876,28.92,Br3Cl3
500.7,145,4.79,Br3Cl3
501.7,197,6.5,Br3Cl3
502.7,21,0.69,Br3Cl3
503.69,13,0.43,Br3Cl3
504.7,1,0.03,Br3Cl3
525.67,410,15.18,Br3Cl4
526.67,60,2.22,Br3Cl4
527.67,1492,55.24,Br3Cl4
528.67,196,7.26,Br3Cl4
529.66,2701,100,Br3Cl4
530.67,354,13.11,Br3Cl4
531.66,2475,91.63,Br3Cl4
532.67,315,11.66,Br3Cl4
533.66,1316,48.72,Br3Cl4
534.66,161,5.96,Br3Cl4
535.66,384,14.22,Br3Cl4
536.66,62,2.3,Br3Cl4
537.65,59,2.18,Br3Cl4
538.66,8,0.3,Br3Cl4
539.65,7,0.26,Br3Cl4
559.63,309,12.31,Br3Cl5
560.63,39,1.55,Br3Cl5
561.63,1289,51.33,Br3Cl5
562.63,192,7.65,Br3Cl5
563.63,2434,96.93,Br3Cl5
564.63,311,12.39,Br3Cl5
565.62,2511,100,Br3Cl5
566.63,316,12.58,Br3Cl5
567.62,1517,60.41,Br3Cl5
568.62,207,8.24,Br3Cl5
569.62,611,24.33,Br3Cl5
570.62,88,3.5,Br3Cl5
571.62,132,5.26,Br3Cl5
572.62,23,0.92,Br3Cl5
573.61,19,0.76,Br3Cl5
574.63,1,0.04,Br3Cl5
575.61,1,0.04,Br3Cl5
501.7,472,15.67,Br4Cl1
502.7,64,2.12,Br4Cl1
503.69,1835,60.92,Br4Cl1
504.7,242,8.03,Br4Cl1
505.69,3012,100,Br4Cl1
506.7,409,13.58,Br4Cl1
507.69,2411,80.05,Br4Cl1
508.69,328,10.89,Br4Cl1
509.69,971,32.24,Br4Cl1
510.69,129,4.28,Br4Cl1
511.69,104,3.45,Br4Cl1
512.69,22,0.73,Br4Cl1
513.69,1,0.03,Br4Cl1
535.66,329,11.78,Br4Cl2
536.66,50,1.79,Br4Cl2
537.66,1527,54.69,Br4Cl2
538.66,184,6.59,Br4Cl2
539.65,2792,100,Br4Cl2
540.66,338,12.11,Br4Cl2
541.65,2639,94.52,Br4Cl2
542.65,299,10.71,Br4Cl2
543.65,1291,46.24,Br4Cl2
544.65,157,5.62,Br4Cl2
545.65,315,11.28,Br4Cl2
546.65,45,1.61,Br4Cl2
547.64,32,1.15,Br4Cl2
548.65,2,0.07,Br4Cl2
569.62,251,9.69,Br4Cl3
570.62,33,1.27,Br4Cl3
571.62,1256,48.48,Br4Cl3
572.62,160,6.18,Br4Cl3
573.61,2483,95.83,Br4Cl3
574.62,326,12.58,Br4Cl3
575.61,2591,100,Br4Cl3
576.62,361,13.93,Br4Cl3
577.61,1587,61.25,Br4Cl3
578.61,202,7.8,Br4Cl3
579.61,547,21.11,Br4Cl3
580.61,79,3.05,Br4Cl3
581.61,99,3.82,Br4Cl3
582.61,14,0.54,Br4Cl3
583.6,10,0.39,Br4Cl3
584.61,1,0.04,Br4Cl3
603.58,175,6.76,Br4Cl4
604.58,33,1.28,Br4Cl4
605.58,961,37.15,Br4Cl4
606.58,148,5.72,Br4Cl4
607.58,2161,83.53,Br4Cl4
608.58,283,10.94,Br4Cl4
609.57,2587,100,Br4Cl4
610.58,341,13.18,Br4Cl4
611.57,1848,71.43,Br4Cl4
612.57,228,8.81,Br4Cl4
613.57,850,32.86,Br4Cl4
614.57,93,3.59,Br4Cl4
615.57,219,8.47,Br4Cl4
616.57,27,1.04,Br4Cl4
617.56,39,1.51,Br4Cl4
618.57,4,0.15,Br4Cl4
619.56,2,0.08,Br4Cl4
620.56,1,0.04,Br4Cl4
637.54,159,6.2,Br4Cl5
638.54,15,0.58,Br4Cl5
639.54,742,28.92,Br4Cl5
640.54,104,4.05,Br4Cl5
641.54,1896,73.89,Br4Cl5
642.54,232,9.04,Br4Cl5
643.53,2566,100,Br4Cl5
644.54,320,12.47,Br4Cl5
645.53,1969,76.73,Br4Cl5
646.53,268,10.44,Br4Cl5
647.53,1086,42.32,Br4Cl5
648.53,111,4.33,Br4Cl5
649.53,376,14.65,Br4Cl5
650.53,59,2.3,Br4Cl5
651.52,80,3.12,Br4Cl5
652.53,5,0.19,Br4Cl5
653.52,11,0.43,Br4Cl5
654.52,1,0.04,Br4Cl5
579.61,199,7.15,Br5Cl1
580.61,30,1.08,Br5Cl1
581.61,1191,42.78,Br5Cl1
582.61,144,5.17,Br5Cl1
583.6,2453,88.11,Br5Cl1
584.61,313,11.24,Br5Cl1
585.6,2784,100,Br5Cl1
586.6,359,12.9,Br5Cl1
587.6,1679,60.31,Br5Cl1
588.6,206,7.4,Br5Cl1
589.6,514,18.46,Br5Cl1
590.6,59,2.12,Br5Cl1
591.6,65,2.33,Br5Cl1
592.6,4,0.14,Br5Cl1
613.57,209,8.03,Br5Cl2
614.57,26,1,Br5Cl2
615.57,906,34.79,Br5Cl2
616.57,121,4.65,Br5Cl2
617.56,2158,82.87,Br5Cl2
618.57,283,10.87,Br5Cl2
619.56,2604,100,Br5Cl2
620.57,330,12.67,Br5Cl2
621.56,2032,78.03,Br5Cl2
622.56,229,8.79,Br5Cl2
623.56,783,30.07,Br5Cl2
624.56,99,3.8,Br5Cl2
625.56,173,6.64,Br5Cl2
626.56,28,1.08,Br5Cl2
627.55,17,0.65,Br5Cl2
628.56,1,0.04,Br5Cl2
629.56,1,0.04,Br5Cl2
647.53,121,4.72,Br5Cl3
648.53,18,0.7,Br5Cl3
649.53,726,28.35,Br5Cl3
650.53,87,3.4,Br5Cl3
651.53,1886,73.64,Br5Cl3
652.53,271,10.58,Br5Cl3
653.52,2561,100,Br5Cl3
654.53,334,13.04,Br5Cl3
655.52,2060,80.44,Br5Cl3
656.52,279,10.89,Br5Cl3
657.52,1103,43.07,Br5Cl3
658.52,136,5.31,Br5Cl3
659.52,299,11.68,Br5Cl3
660.52,40,1.56,Br5Cl3
661.51,64,2.5,Br5Cl3
662.52,11,0.43,Br5Cl3
663.51,4,0.16,Br5Cl3
681.49,98,4.15,Br5Cl4
682.49,14,0.59,Br5Cl4
683.49,557,23.58,Br5Cl4
684.49,76,3.22,Br5Cl4
685.49,1613,68.29,Br5Cl4
686.49,219,9.27,Br5Cl4
687.48,2362,100,Br5Cl4
688.49,317,13.42,Br5Cl4
689.48,2239,94.79,Br5Cl4
690.48,291,12.32,Br5Cl4
691.48,1321,55.93,Br5Cl4
692.48,177,7.49,Br5Cl4
693.48,504,21.34,Br5Cl4
694.48,76,3.22,Br5Cl4
695.47,96,4.06,Br5Cl4
696.48,18,0.76,Br5Cl4
697.47,19,0.8,Br5Cl4
698.47,3,0.13,Br5Cl4
715.45,66,2.95,Br5Cl5
716.45,10,0.45,Br5Cl5
717.45,452,20.2,Br5Cl5
718.45,60,2.68,Br5Cl5
719.45,1395,62.33,Br5Cl5
720.45,160,7.15,Br5Cl5
721.44,2179,97.36,Br5Cl5
722.45,287,12.82,Br5Cl5
723.44,2238,100,Br5Cl5
724.45,313,13.99,Br5Cl5
725.44,1534,68.54,Br5Cl5
726.44,202,9.03,Br5Cl5
727.44,709,31.68,Br5Cl5
728.44,78,3.49,Br5Cl5
729.44,231,10.32,Br5Cl5
730.44,33,1.47,Br5Cl5
731.43,46,2.06,Br5Cl5
732.43,2,0.09,Br5Cl5
733.43,3,0.13,Br5Cl5
734.43,2,0.09,Br5Cl5
